listing_id,date
4965127,2016-02-07
4965127,2016-03-27
2775307,2014-06-07
2775307,2014-06-14
2775307,2014-08-29
2775307,2015-07-16
181702,2011-07-30
181702,2011-08-13
181702,2011-08-20
181702,2011-08-27
181702,2011-09-05
181702,2011-09-14
181702,2011-10-04
181702,2011-10-12
181702,2011-11-20
181702,2011-12-07
181702,2012-01-07
181702,2012-02-17
181702,2012-03-24
181702,2012-04-05
181702,2012-05-08
181702,2012-05-21
181702,2012-06-05
181702,2012-07-04
181702,2012-07-09
181702,2012-07-16
181702,2012-07-19
181702,2012-07-24
181702,2012-08-04
181702,2012-08-06
181702,2012-08-09
181702,2012-09-28
181702,2012-10-04
181702,2012-10-27
181702,2012-11-04
181702,2012-11-12
181702,2013-01-05
181702,2013-01-22
181702,2013-01-28
181702,2013-02-04
181702,2013-02-11
181702,2013-02-18
181702,2013-03-03
181702,2013-03-11
181702,2013-03-25
181702,2013-03-31
181702,2013-04-10
181702,2013-04-28
181702,2013-05-13
181702,2013-05-27
181702,2013-06-03
181702,2013-06-26
181702,2013-07-07
181702,2013-07-13
181702,2013-07-16
181702,2013-07-20
181702,2013-07-21
181702,2013-08-03
181702,2013-08-30
181702,2013-09-06
181702,2013-09-17
181702,2013-09-20
181702,2013-09-30
181702,2013-10-06
181702,2013-10-13
181702,2013-10-21
181702,2014-01-03
181702,2014-01-09
181702,2014-04-14
181702,2014-04-26
181702,2014-04-28
181702,2014-05-05
181702,2014-05-07
181702,2014-05-12
181702,2014-05-28
181702,2014-06-04
181702,2014-06-11
181702,2014-06-23
181702,2014-07-01
181702,2014-07-12
181702,2014-07-23
181702,2014-07-29
181702,2014-08-18
181702,2014-08-28
181702,2014-09-14
181702,2014-09-26
181702,2014-11-17
181702,2014-12-02
181702,2014-12-12
181702,2015-01-13
181702,2015-05-07
181702,2015-06-01
181702,2015-06-21
181702,2015-06-28
181702,2015-07-06
181702,2015-07-15
181702,2015-07-18
181702,2015-08-10
7797120,2015-08-22
7797120,2015-10-04
7797120,2015-10-18
7797120,2015-12-29
231569,2013-06-24
231569,2013-09-10
231569,2013-09-15
231569,2013-10-08
231569,2013-10-17
231569,2013-10-21
231569,2013-11-11
231569,2014-03-31
231569,2014-06-02
231569,2014-07-31
231569,2014-11-24
231569,2015-07-06
231569,2015-10-05
231569,2016-01-04
7729007,2015-09-14
7729007,2015-10-15
7729007,2016-01-26
7729007,2016-02-04
7729007,2016-03-11
7729007,2016-03-12
2493912,2014-08-17
2493912,2015-01-02
2493912,2015-08-20
2493912,2015-10-27
2493912,2015-10-29
2493912,2015-12-31
8161235,2015-10-18
8161235,2016-03-01
8161235,2016-03-11
8161235,2016-03-29
10491381,2016-03-22
7999264,2015-09-28
7999264,2015-10-04
9316239,2015-11-15
9316239,2015-12-04
9316239,2015-12-05
9316239,2015-12-06
9316239,2015-12-11
9316239,2015-12-13
9316239,2015-12-20
9316239,2016-01-23
9316239,2016-01-27
9316239,2016-01-31
9316239,2016-03-09
55853,2013-03-12
55853,2013-12-01
55853,2014-09-08
55853,2015-01-06
55853,2015-03-07
55853,2015-09-10
55853,2015-09-19
55853,2015-10-20
55853,2016-01-03
55853,2016-02-22
55853,2016-03-12
3244397,2015-06-10
3244397,2015-09-16
2814852,2014-08-14
2814852,2015-01-04
2814852,2015-05-05
2814852,2015-05-17
2814852,2015-06-03
2814852,2015-06-07
2814852,2015-07-01
2814852,2015-07-05
2814852,2015-09-06
